smiles,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
CCCCCCCCCCOCC(O)CN,0,0,0,,0,,,,,0,,
CCN(CC)C(=O)c1cccnc1,0,0,0,0,,0,0,,0,,0,0
COc1cc(O)cc(O)c1,0,0,,0,,,0,,0,0,0,0
CCOC(=O)c1cccnc1,,,,,,,,0,,0,,
CCOc1ccc(S(=O)(=O)O)c2cccnc12,0,0,,0,1,1,0,,0,,0,0
O=C(O)[C@H](O)c1ccccc1,0,0,0,0,,0,0,0,0,0,0,0
Nc1ccc(/N=N/c2ccccc2)cc1,0,0,1,,1,0,,1,1,0,,0
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0,0,1,,0,0,0,,0,,,
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0,0,0,0,0,0,0,0,0,0,,0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0,0,0,,0,0,,0,0,0,,0
C#CCO,0,0,0,0,0,0,0,0,0,0,0,0
Nc1ccccc1S(=O)(=O)O,0,0,0,0,0,0,0,0,0,0,,0
CC(O)CC(C)(C)O,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)CC(C)(C)N,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)CC(C)C,0,0,0,0,0,0,0,0,0,0,0,0
CCCC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0
Nc1nc2ccccc2[nH]1,0,0,1,0,0,0,0,0,0,0,0,0
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,,1,,,0,,1,0,0,1,1
c1ccc(-c2ccccc2)cc1,0,0,0,0,0,0,0,0,0,0,0,0
CNC(=O)Nc1ccc(Cl)c(Cl)c1,0,0,1,0,0,,0,0,0,0,,0
CC(=O)Nc1ccc(C)c(Cl)c1,0,0,0,0,,0,0,0,0,0,,0
CCCCNC(=S)NCCCC,0,0,0,0,0,0,0,0,0,1,0,0
CCCCNC(=O)NCCCC,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)N(c1ccccc1)C(C)C,0,0,0,0,0,0,0,0,0,0,0,0
CCc1cccc(C)c1,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0,0,0,0,0,0,0,,0,0,0,0
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0,0,0,,0,0,0,0,0,1,0,0
CCCCCCCCCCC=CC1CC(=O)OC1=O,0,0,0,0,0,0,0,1,0,0,0,0
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0,0,,0,0,,,0,0,,1,
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
CCOP(=S)(CC)Sc1ccccc1,0,0,0,1,,0,0,0,0,0,0,0
CC/C=C\CCCCO,0,0,0,0,0,0,0,0,0,0,0,0
Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,,0,1,,1,0,0,1,1,0,1,0
C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0,0,1,0,0,0,0,,0,0,0,0
CC(=O)CCC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0
N#CCCNCCC#N,0,0,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0,0,0,0,0,0,0,,0,0,,0
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0,0,,0,0,0,0,1,0,0,,0
O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,0,0,0,,,0,0,1,0,0,,0
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0,0,0,,0,0,,0,0,0,,0
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0,0,0,,0,0,,,0,0,,0
Cc1ccccc1CCO,0,0,0,0,0,0,0,0,0,0,0,0
Cc1nc(C)c(C)nc1C,0,0,0,0,0,0,0,0,0,0,0,0
CC1=CC(O)CC(C)(C)C1,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cnc(C)c(C)n1,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)COC(=O)c1ccccc1,0,0,0,0,,0,0,0,0,0,0,0
C=C(C)[C@@H]1CC=C(C)CC1,0,0,0,0,,0,0,0,0,0,0,0
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0,0,0,0,0,0,0,0,0,0,0,0
Nc1ccc(N)c([N+](=O)[O-])c1,0,0,1,0,,0,0,1,0,0,1,
CC1COc2ccccc2N1,0,0,1,,0,0,0,0,0,0,,0
O=C(O)c1cc(Cl)cc(Cl)c1O,0,0,0,0,0,0,0,0,0,0,,0
CCCCCCCCCCCC(=O)NCCCN(C)C,0,,0,,,,,,0,,,
CC(C)CCCCCOC(=O)CCS,0,0,0,0,0,0,0,0,0,0,0,0
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0,0,0,0,0,0,0,0,0,0,0,0
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0,0,0,0,0,0,0,0,0,0,0,1
C=CCOc1c(Br)cc(Br)cc1Br,0,0,1,0,0,0,0,0,0,0,,0
F[B-](F)(F)F.[H+],0,0,0,0,0,0,0,,0,0,0,0
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0,0,0,0,0,0,0,0,0,0,0,0
C(=C/c1ccccc1)\c1ccccc1,0,0,1,,1,0,0,1,0,0,,0
Cc1ccc2c(ccc3ccccc32)c1,0,0,,,,0,0,0,0,0,,0
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0,0,0,0,0,0,0,0,0,0,0,0
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0,0,0,0,1,1,0,,0,0,0,1
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0,0,1,,,0,0,1,0,,,0
COC(=O)C1=CCCN(C)C1,0,0,0,0,0,0,0,0,0,0,0,0
COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,,,,,,,,0,,0,,
Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,0,0,0,0,0,0,0,,0,,0,0
CCCCCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
O=C([O-])c1ccccc1O,0,0,0,0,0,0,0,0,0,0,,0
NC(=O)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
CCN1CCc2nc(N)oc2CC1,,,,,,,,0,,0,,
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,0,0,0,,,0,0,,0,,,0
O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,,0,0,0,0,0,0,,0,,0,0
OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0,0,0,0,0,0,,0,0,0,,0
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0,0,0,0,0,0,0,0,0,0,0,0
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0,,0,,,0,,1,0,0,0,0
Nc1ccc([N+](=O)[O-])cc1N,0,0,1,0,1,1,0,1,0,,1,0
[I-].[K+],0,0,0,0,0,0,0,0,0,0,0,0
O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0,0,0,0,0,0,0,0,0,0,0,0
Oc1nc(Cl)c(Cl)cc1Cl,0,,1,,0,0,,1,0,0,1,0
C/C=C/C=C/C=O,0,0,0,0,0,0,0,1,0,0,0,0
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,1,,0,,,0,,1,0,0,,0
C[Si](C)(C)N[Si](C)(C)C,0,0,0,0,0,1,0,0,0,0,0,0
C=CC(=O)OCCCl,0,0,0,0,0,0,0,,0,0,0,0
COCC(C)N(C(=O)CCl)c1c(C)csc1C,0,0,0,1,0,0,,1,0,0,,0
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0,0,0,0,0,0,0,,0,0,0,0
C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],0,0,,0,0,0,0,0,0,0,0,0
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0,0,0,,,,,1,,0,,
CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0,0,0,0,0,0,0,0,0,0,0,0
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0,0,0,0,0,0,0,0,0,0,0,0
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0,0,0,0,0,0,0,0,0,0,0,0
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0,0,0,0,0,0,0,,0,,,0
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1,0,0,,0,,0,0,,0,,0
CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,0,0,0,,0,0,0,0,0,0,,0
O=C(O)/C=C(\CC(=O)O)C(=O)O,0,0,0,0,,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,0,0,0,0,0,0,0,,0,,0,0
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,,,,,,,,0,,0,,
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,0,0,0,,,0,,1,0,,,1
CNCC(=O)c1ccc(O)c(O)c1,,,,,,,,0,,0,,
CC(C)(C)C1CCC(=O)CC1,0,0,0,,0,0,0,0,0,1,0,0
CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,0,0,,0,0,0,0,,0,,0,
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0,0,0,0,0,0,0,,0,,0,0
CCCCC(=O)[O-],0,0,0,0,0,0,0,,0,,0,0
CCCCCCCCCCCCCC(=O)OC,0,0,0,0,0,0,0,0,0,0,0,0
Nc1ccncc1N,,,,,,,,0,,0,,
CCCCCCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
CCC[Si](OC)(OC)OC,0,0,0,0,0,0,0,0,0,0,0,0
CC1=C(CC=O)C(C)(C)CCC1,0,0,0,0,0,0,0,0,0,0,0,0
NCCNCCNCCN,0,0,0,0,,0,0,0,0,0,0,0
C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,1,1,0,,1,0,0,1,0,0,,1
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0,0,1,1,,0,0,1,0,0,0,0
Cc1ccc(N)c(N)c1,0,0,1,0,1,1,0,1,1,1,,0
CCCCCNCCCCC,0,0,0,0,0,0,0,0,0,0,0,0
COCC(C)O,0,0,0,0,1,0,0,0,0,0,0,0
c1ccc2c(c1)Oc1ccccc1S2,0,0,0,0,1,0,0,0,0,0,1,0
CC1CN1,0,0,0,0,0,0,0,0,0,0,0,0
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0,0,0,0,0,0,0,0,0,0,0,0
NCC(=O)CCC(=O)O,,,,,,,,,,0,,
Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,0,,,1,0,,0,,0,1,0,
Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0,0,0,0,0,0,0,0,0,0,1,0
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,0,0,1,0,,0,0,0,0,0,1,0
ClCOCCl,0,0,0,0,1,0,0,0,0,0,0,0
CC(O)CNCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,0,0,,0,0,0,0,0,0,0,0,0
CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,0,0,,,0,0,1,0,0,0,0
O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,0,0,0,0,0,0,0,,0,0,0,0
CCOC(=O)C1OC1c1ccccc1,0,0,0,0,0,0,0,,0,0,0,0
ONc1ccccc1,0,0,1,,1,0,0,,0,0,,0
O=CC(=O)c1ccccc1,0,0,0,0,0,0,0,0,0,,0,0
[Cu]I,0,0,0,0,,0,0,,0,1,0,0
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0,0,0,0,0,0,0,0,0,0,0,0
ClCc1ccc(Cl)cc1Cl,0,0,0,0,0,0,0,,0,0,,
O=C(O)CCCCCCCCC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC(=O)OC,0,0,0,0,0,0,0,0,0,0,0,0
CC(O)COCC(C)O,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C(=O)C(=O)[O-])cc1C,,,,,,,,0,,0,,
O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,0,,0,0,0,0,0,0,0,0,0,0
Cc1ncc[nH]1,0,0,1,0,0,0,0,0,0,0,0,0
COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,0,,0,1,,0,1,,0,0,,
Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,0,0,1,,1,0,0,0,1,0,,0
O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,0,0,0,0,0,0,0,,0,0,,0
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,0,0,0,0,,0,0,,0,0,0,0
Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,0,0,0,,0,0,0,,0,0,0,0
CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,0,0,0,0,0,0,0,1,0,0,,0
Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO,0,,0,0,0,0,,0,0,0,0,0
CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2,0,0,,0,0,0,0,,0,0,0,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],1,1,0,,1,,0,,0,,0,0
CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1,,,,,,,,0,,0,,
CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,0,0,0,0,0,0,0,,0,,0,0
CO[Si](C)(C)OC,0,0,0,0,0,0,0,0,0,0,0,0
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,0,0,,0,0,,,0,0,1,0
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,0,0,1,1,,0,0,1,0,0,1,0
CC(=O)c1ccccc1O,0,0,0,,0,0,0,0,0,0,0,0
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)c1cccc(Cl)n1,0,0,0,0,0,0,0,0,0,,0,0
CCCCCCCCCC=O,0,0,0,0,,0,,0,0,0,0,0
Cc1ccc(C(C)(C)C)cc1,0,0,0,0,0,0,0,0,0,0,0,0
BrCBr,0,0,0,0,0,0,0,0,0,0,0,0
Nc1cc(Cl)cc(Cl)c1,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCC(=O)O,0,0,0,0,0,0,0,0,0,0,,0
CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,0,,0,,,,0,,,,1,
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCCOS(=O)(=O)[O-],0,0,0,0,1,0,0,0,0,0,0,0
O=Cc1ccc(C(=O)O)cc1,0,0,0,0,0,0,0,1,0,0,0,0
CCC(Cl)CCl,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(O)c1ccccc1,0,,0,,0,0,0,0,0,0,,0
O=C1CCCN1,0,0,0,0,1,0,0,0,0,0,0,0
ClCc1ccccc1Cl,0,,0,0,0,0,0,0,0,0,,0
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,0,0,,0,0,0,0,1,0,0,,0
N#CC1(N=NC2(C#N)CCCCC2)CCCCC1,0,0,0,0,0,0,0,0,0,0,0,0
C=CC(=O)OCCOC(=O)C=C,0,,0,0,1,1,1,1,1,,0,
CCCC[P+](CCCC)(CCCC)CCCC,0,0,0,0,0,0,0,0,0,0,0,
N#CCc1cccc(C(F)(F)F)c1,0,0,0,0,0,0,0,0,0,,0,0
COc1cccc(Br)c1,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCCNC,0,0,0,0,0,0,0,0,0,0,0,0
CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,0,,1,,1,0,0,,0,,,0
CC1=C(C(=O)Nc2ccccc2)SCCO1,0,0,1,,1,0,0,0,1,0,0,0
CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,0,0,1,,1,0,,0,0,1,,0
Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc2c(Br)cc(Br)c(O)c2n1,0,0,1,0,,0,,,1,1,1,
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,0,1,1,1,1,,0,0,0,1,0
CC(O)COc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
O=P1(NCCCl)OCCCN1CCCl,0,0,0,0,0,0,0,0,0,0,0,0
C=CC(=C)C,,,,,,0,0,0,0,0,0,0
CC(C)O,0,,0,,0,0,0,0,0,,0,0
CC(C)OC(=O)Nc1cccc(Cl)c1,0,0,,,0,0,0,0,1,0,,0
CC(C)OC(=O)Nc1ccccc1,0,0,0,,1,0,0,0,0,0,0,0
CC=Cc1ccc2c(c1)OCO2,0,0,0,0,0,0,0,0,0,0,0,0
CCCC(CCC)C(=O)[O-],0,0,0,,0,0,0,0,0,0,0,0
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,0,0,1,,,0,,,0,,,1
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,0,0,0,0,0,0,0,0,0,0,0,0
CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1,0,0,0,0,1,1,0,0,0,,1,
O=C(c1ccccc1)c1cc(Cl)ccc1O,0,0,,1,,,0,,0,0,1,0
OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,0,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1,0,0,0,0,0,,0,0,0,0,1,0
CC(C)C[P+](C)(CC(C)C)CC(C)C,0,0,0,0,0,0,0,0,0,0,0,0
C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3,0,0,0,0,0,0,0,0,0,0,0,0
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0,,,1,,,,,,,1,
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,0,0,0,0,1,0,0,0,0,0,0,0
O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,0,0,0,0,0,0,0,0,0,1,0,0
Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc2cc(C)cc(C)c2)c1,0,0,1,0,0,0,0,,0,0,,0
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,0,0,0,1,0,0,0,0,0,0,,0
O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,0,0,0,,0,0,0,1,1,1,0,1
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O,0,0,,,,0,0,,,,,0
O=C(O)c1ccc(O)cc1O,0,0,0,0,0,0,0,0,0,0,0,0
O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,0,,,,,,,1,,,1,
CC1=CC(C)(C)Nc2ccccc21,0,0,0,0,0,0,0,0,0,0,1,0
Cc1cc(=O)oc2cc(O)cc(O)c12,0,0,1,0,,0,,,0,,1,
CC(C)CNCC(C)C,0,0,0,0,0,0,0,0,0,0,0,0
CNC1(c2ccccc2Cl)CCCCC1=O,0,0,0,0,0,0,0,,0,,0,0
Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1,0,0,0,0,0,0,0,,0,,0,0
O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,0,0,1,,1,,,,1,,1,0
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,0,,1,,1,1,,1,1,0,,
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,0,0,1,,1,1,1,1,0,,1,
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,0,1,,1,1,,1,1,0,1,1
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,,,,,1,1,,1,0,0,1,
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,1,1,0,0,0,0,0,,0,,0,0
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,0,,,,0,0,0,0,0,0,,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0,,,,0,,0,1,0,,,
NC(=O)OCC(COC(N)=O)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
CCNC(C)Cc1cccc(C(F)(F)F)c1,0,0,0,0,0,0,0,,0,,,0
COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,0,0,0,0,0,0,0,0,0,0,0,0
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,0,0,1,1,0,0,0,,0,0,,0
CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,0,0,1,,0,0,0,,0,,1,0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,1,1,0,,1,0,0,,0,0,0,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,,,,,,,,0,,0,,
CCC1(C)CC(=O)NC(=O)C1,0,0,0,0,0,0,0,,0,,0,0
